Brand;Model;AccelSec;TopSpeed_KmH;Efficiency_WhKm;FastCharge_KmH;RapidCharge;PowerTrain;PlugType;BodyStyle;Segment;Seats;PriceEuro;Combined Cold;Combined mild;Battery_size;Range_Km
Aiways ;U5 ;9;150;188;350;Yes;FWD;Type 2 CCS;SUV;C;5;36057;270;360;60;315
Audi ;e-tron 55 quattro;05.07;200;237;590;Yes;AWD;Type 2 CCS;SUV;E;5;79445;315;410;86,5;365
Tesla ;Roadster ;02.01;410;206;920;Yes;AWD;Type 2 CCS;Cabrio;S;4;215000;825;1095;200;970
Opel ;Mokka-e ;08.05;150;176;390;Yes;FWD;Type 2 CCS;SUV;B;5;35000;220;300;46;260
Skoda ;Enyaq iV 80;08.08;160;183;560;Yes;RWD;Type 2 CCS;SUV;C;5;40000;370;505;77;440
Tesla ;Model X Long Range;04.06;250;211;490;Yes;AWD;Type 2;SUV;F;7;85990;375;500;95;440
Honda ;e Advance;08.03;145;168;190;Yes;RWD;Type 2 CCS;Hatchback;B;4;35921;140;195;28,5;170
DS ;3 Crossback E-Tense;08.07;150;180;380;Yes;FWD;Type 2 CCS;SUV;B;5;37422;225;305;46;265
Renault ;Twingo ZE;12.06;135;164;-;No;RWD;Type 2;Hatchback;A;4;24790;110;155;21;135
Citroen ;e-C4 ;09.07;150;180;380;Yes;FWD;Type 2 CCS;SUV;C;5;40000;240;335;46;290
Tesla ;Model S Performance;02.05;261;188;550;Yes;AWD;Type 2;Hatchback;F;5;96990;435;585;95;515
Renault ;Zoe ZE40 R110;11.04;135;161;230;Yes;FWD;Type 2 CCS;Hatchback;B;5;29234;215;295;41;255
Tesla ;Model Y Long Range Performance;03.07;241;177;900;Yes;AWD;Type 2 CCS;SUV;D;7;65620;375;515;75;445
Nissan ;Ariya 87kWh;07.06;160;198;520;Yes;FWD;Type 2 CCS;Hatchback;C;5;50000;385;515;87;450
Jaguar ;I-Pace ;04.08;200;232;340;Yes;AWD;Type 2 CCS;SUV;E;5;75351;325;430;85;380
Ford ;Mustang Mach-E ER RWD;7;180;200;430;Yes;RWD;Type 2 CCS;SUV;D;5;54475;395;530;91;480
Porsche ;Taycan 4S Plus;4;250;197;890;Yes;AWD;Type 2 CCS;Sedan;F;4;109302;385;520;84;480
Nissan ;e-NV200 Evalia ;14;123;200;190;Yes;FWD;Type 1 CHAdeMO;MPV;N;7;33246;145;190;37;170
Tesla ;Cybertruck Dual Motor;5;190;261;710;Yes;AWD;Type 2 CCS;Pickup;N;6;55000;395;510;120;460
Renault ;Kangoo Maxi ZE 33;22.04;130;194;-;No;FWD;Type 2;MPV;N;5;38000;140;185;31;160
Ford ;Mustang Mach-E ER AWD;6;180;209;410;Yes;AWD;Type 2 CCS;SUV;D;5;62900;375;500;91;440
BMW ;i3s 120 Ah;06.09;160;165;260;Yes;RWD;Type 2 CCS;Hatchback;B;4;41526;200;275;38;235
Skoda ;Enyaq iV 80X;7;160;193;540;Yes;AWD;Type 2 CCS;SUV;C;5;45000;360;490;77;425
Byton ;M-Byte 95 kWh 4WD;05.05;190;244;460;Yes;AWD;Type 2 CCS;SUV;E;5;64000;340;430;83,7;420
Sono ;Sion ;9;140;156;270;Yes;FWD;Type 2 CCS;Hatchback;C;5;25500;220;300;95;390
Kia ;e-Niro 39 kWh;09.08;155;167;230;Yes;FWD;Type 2 CCS;SUV;C;5;34400;200;275;47;260
Audi ;Q4 Sportback e-tron ;06.03;180;188;550;Yes;AWD;Type 2 CCS;SUV;D;5;57500;255;480;39;235
Smart ;EQ forfour ;12.07;130;176;-;No;RWD;Type 2;Hatchback;A;4;22030;80;110;76,6;425
Ford ;Mustang Mach-E SR AWD;6;180;206;360;Yes;AWD;Type 2 CCS;SUV;D;5;54000;285;285;16,7;95
Porsche ;Taycan Turbo;03.02;260;215;810;Yes;AWD;Type 2 CCS;Sedan;F;4;148301;375;510;70;340
Volkswagen ;ID.3 1st;07.03;160;171;470;Yes;RWD;Type 2 CCS;Hatchback;C;5;38987;290;400;83,7;445
Tesla ;Model X Performance;02.08;250;216;480;Yes;AWD;Type 2;SUV;F;7;102990;400;530;58;350
Smart ;EQ fortwo coupe;11.06;130;167;-;No;RWD;Type 2;Hatchback;A;2;21387;85;115;98;470
Ford ;Mustang Mach-E SR RWD;06.06;180;194;380;Yes;RWD;Type 2 CCS;SUV;D;5;46900;310;420;16,7;100
Mercedes ;EQV 300 Long;10;140;273;290;Yes;FWD;Type 2 CCS;MPV;N;7;70631;270;345;72,6;380
Fiat ;500e Hatchback;9;150;168;330;Yes;FWD;Type 2 CCS;Hatchback;B;4;34900;195;270;90;310
Tesla ;Cybertruck Single Motor;7;180;256;740;Yes;RWD;Type 2 CCS;Pickup;N;6;45000;335;435;37;235
Audi ;e-tron Sportback 50 quattro;06.08;190;219;470;Yes;AWD;Type 2 CCS;SUV;E;5;69551;250;330;100;386
Skoda ;Enyaq iV vRS;06.02;180;193;540;Yes;AWD;Type 2 CCS;SUV;C;5;47500;355;480;64,7;295
Skoda ;Enyaq iV 60;9;160;181;440;Yes;RWD;Type 2 CCS;SUV;C;5;37500;285;390;77;420
Audi ;e-tron S 55 quattro;04.05;210;270;510;Yes;AWD;Type 2 CCS;SUV;E;5;93800;315;410;58;340
Smart ;EQ fortwo cabrio;11.09;130;176;-;No;RWD;Type 2;Cabrio;A;2;24565;80;110;86,5;365
Kia ;e-Soul 64 kWh;07.09;167;175;320;Yes;FWD;Type 2 CCS;SUV;B;5;36837;310;420;16,7;95
Nissan ;Ariya e-4ORCE 87kWh;05.07;200;207;500;Yes;AWD;Type 2 CCS;Hatchback;C;5;57500;345;460;64;370
Fiat ;500e Convertible;9;150;168;330;Yes;FWD;Type 2 CCS;Cabrio;B;4;37900;190;260;87;440
Volkswagen ;ID.3 Pro Performance;07.03;160;171;470;Yes;RWD;Type 2 CCS;Hatchback;C;5;35575;295;405;37;230
Kia ;e-Soul 39 kWh;09.09;157;170;220;Yes;FWD;Type 2 CCS;SUV;B;5;33133;195;265;58;350
Byton ;M-Byte 72 kWh 2WD;07.05;190;222;420;Yes;RWD;Type 2 CCS;SUV;E;5;53500;275;365;39;230
Nissan ;Ariya 63kWh;07.05;160;191;440;Yes;FWD;Type 2 CCS;Hatchback;C;5;45000;285;380;72;325
Audi ;e-tron S Sportback 55 quattro;04.05;210;258;540;Yes;AWD;Type 2 CCS;SUV;E;5;96050;350;475;63;335
Nissan ;Ariya e-4ORCE 63kWh;05.09;200;194;440;Yes;AWD;Type 2 CCS;Hatchback;C;5;50000;265;355;86,5;380
Nissan ;Ariya e-4ORCE 87kWh Performance;05.01;200;232;450;Yes;AWD;Type 2 CCS;Hatchback;C;5;65000;345;460;63;310
Byton ;M-Byte 95 kWh 2WD;07.05;190;238;480;Yes;AWD;Type 2 CCS;SUV;E;5;62000;345;450;87;405
;;;;;;;;;;;;;;;Battery;
;;;;;;;;;;;;;;;;
